ID,TrainNum,Velocity,Heading,TrainState,RouteName,CMSID,OrigCode,DestCode,LastValTS,lat,lng
408569,188,106.216995239258,E,Active,Northeast Regional,1241245668597,WAS,NYP,5/12/2015 9:22:49 PM,40.00172,-75.09967
407437,180,55.5,N,Active,Northeast Regional,1241245668597,WAS,NYP,5/8/2015 7:44:30 AM,40.00381,-75.09054
397073,186,54.7771263122559,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/3/2015 3:22:50 PM,40.00382,-75.0904
392916,198,53.5112686157227,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/20/2015 11:17:06 PM,40.00275,-75.0916
403818,166,53.0999984741211,N,Active,Northeast Regional,1241245668597,WAS,BOS,4/26/2015 7:32:08 PM,40.00385,-75.09043
408392,94,53.050952911377,NE,Active,Northeast Regional,1241245668597,NPN,BOS,5/12/2015 5:11:27 PM,40.00362,-75.09064
405753,140,52.7057228088379,NE,Active,Northeast Regional,1241245668597,WAS,SPG,5/3/2015 2:32:18 PM,40.00397,-75.09026
388172,138,52.5316009521484,E,Active,Northeast Regional,1241245668597,WAS,NYP,3/4/2015 8:20:40 PM,40.00148,-75.09407
405879,152,52.4755630493164,E,Active,Northeast Regional,1241245668597,WAS,NYP,5/3/2015 10:24:16 AM,40.00135,-75.09678
399663,154,52.2454109191895,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/12/2015 12:32:17 PM,40.00389,-75.09029
387674,84,52.2000007629395,N,Active,Northeast Regional,1241245668597,RVR,NYP,3/3/2015 1:23:38 PM,40.00376,-75.09058
391796,94,51.9001731872559,E,Active,Northeast Regional,1241245668597,NPN,BOS,3/17/2015 4:11:51 PM,40.00125,-75.09552
388902,146,51.9000015258789,N,Active,Northeast Regional,1241245668597,WAS,SPG,3/7/2015 6:32:31 PM,40.00183,-75.09308
395118,82,51.7999992370605,N,Active,Northeast Regional,1241245668597,RVR,BOS,3/28/2015 12:32:22 PM,40.00273,-75.09174
389898,110,51.785099029541,E,Active,Northeast Regional,1241245668597,WAS,NYP,3/10/2015 6:02:32 AM,40.00128,-75.09634
399661,152,51.785099029541,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/12/2015 10:23:20 AM,40.00385,-75.09037
401478,168,51.785099029541,NE,Active,Northeast Regional,1241245668597,WAS,BOS,4/18/2015 5:41:31 PM,40.00259,-75.0918
406820,172,51.6816902160645,E,Active,Northeast Regional,1241245668597,WAS,BOS,5/6/2015 9:36:00 AM,40.00138,-75.09693
390655,176,51.6700210571289,NE,Active,Northeast Regional,1241245668597,LYH,BOS,3/13/2015 2:08:00 PM,40.002050000000004,-75.0925
407688,158,51.5,S,Active,Northeast Regional,1241245668597,WAS,NYP,5/9/2015 8:26:36 PM,40.001270000000005,-75.0957
399977,186,51.4000015258789,N,Active,Northeast Regional,1241245668597,WAS,NYP,4/13/2015 3:11:25 PM,40.0033,-75.09109
397716,94,51.2097091674805,NE,Active,Northeast Regional,1241245668597,NPN,BOS,4/6/2015 6:18:37 PM,40.00178,-75.09305
407246,84,51.2000007629395,N,Active,Northeast Regional,1241245668597,RVR,NYP,5/8/2015 1:17:30 PM,40.00172,-75.09338
395955,176,51.0999984741211,N,Active,Northeast Regional,1241245668597,LYH,BOS,3/31/2015 2:08:18 PM,40.00179,-75.09327
395514,152,50.9000015258789,N,Active,Northeast Regional,1241245668597,WAS,NYP,3/29/2015 10:26:32 AM,40.00295,-75.09147
397900,130,50.9000015258789,N,Active,Northeast Regional,1241245668597,WAS,NYP,4/6/2015 9:11:42 AM,40.00129,-75.09526
394643,174,50.8582191467285,E,Active,Northeast Regional,1241245668597,NFK,BOS,3/26/2015 12:41:33 PM,40.001270000000005,-75.09581000000001
396128,184,50.7999992370605,N,Active,Northeast Regional,1241245668597,WAS,NYP,3/31/2015 11:42:02 AM,40.00272,-75.09173
396575,176,50.7493934631348,E,Active,Northeast Regional,1241245668597,LYH,BOS,4/2/2015 2:17:31 PM,40.00135,-75.09689
398834,186,50.7493934631348,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/9/2015 3:12:54 PM,40.00299,-75.09130000000002
405615,162,50.7493934631348,NE,Active,Northeast Regional,1241245668597,WAS,BOS,5/2/2015 8:33:15 AM,40.00299,-75.09129
407130,178,50.7493934631348,E,Active,Northeast Regional,1241245668597,WAS,BOS,5/7/2015 6:20:25 PM,40.00125,-75.09599
405891,162,50.6983489990234,NE,Active,Northeast Regional,1241245668597,WAS,BOS,5/3/2015 8:30:52 AM,40.00367,-75.09068
406509,178,50.6343193054199,E,Active,Northeast Regional,1241245668597,WAS,BOS,5/5/2015 6:12:09 PM,40.00152,-75.09373
406316,94,50.5999984741211,N,Active,Northeast Regional,1241245668597,NPN,BOS,5/5/2015 4:12:18 PM,40.00159,-75.09365
